<br>","<code>L</code> refers to <code>[1, 2, 3]</code>, <code>s</code> refers to <code>2</code>","<code>L</code> refers to <code>[1, 2, 3]</code>, <code>s</code> refers to <code>3</code>","<code>L</code> refers to <code>[]</code>, <code>s</code> refers to <code>1</code>","<code>L</code> refers to <code>[1, 2, 3]</code>, <code>s</code> refers to <code>1</code>",,,,,,,,,,,

"Note: There is no incorrect answer to this question. We are interested in knowing what you consider important when solving a programming problem.



You are being asked to solve a programming problem that involves writing a function. Which of the following components of the problem or starter code do you find most important?  ",The problem description.,"The function name, if it is provided.","The function's type signature, if it is provided.","The function's description, if it is provided.","The examples in the docstring, if any are provided.",The results of the tests.,,,,,,,,,

"A <code>Clock</code> class has three instance variables that refer to <code>int</code>s: <code>hours</code>, <code>minutes</code>, and <code>seconds</code>.  Here is a <code>__str__</code> method for this class (other methods are not show):

<pre>

    def __str__(self):

        return 'Clock: ' + str(self.hours) + ' hours, ' + str(self.minutes) + \

            ' minutes, ' + str(self.seconds) + ' seconds'

</pre>

Here is an example return value: <code>'Clock: 10 hours, 32 minutes, 15 seconds'</code>. Below, select the return statement that uses method <code>format</code> in class <code>str</code> to produce the same result.","<small>

<pre>

return format('Clock: {0} hours, {1} minutes, {2} seconds',

    self.hours, self.minutes, self.seconds)

</pre>

</small>","<small>

<pre>

return 'Clock: {0} hours, {0} minutes, {0} seconds'.format(

    self.hours, self.minutes, self.seconds)

</pre>

</small>","<small>

<pre>

return 'Clock: {0} hours, {1} minutes, {2} seconds'.format(

    self.hours, self.minutes, self.seconds)

</pre>

</small>",,,,,,,,,,,,

"Consider this code:

<pre>

treats = [['apple', 'pie'], ['vanilla', 'ice-cream'], ['chocolate', 'cake']]

</pre>



Select the expression(s) that produce <code>'pie'</code>.",treats[-1][-1],treats[-2][-1],treats[-3][-1],,,,,,,,,,,,

"This question uses class <code>Contact</code> from the previous questions.



Another method has been added to class <code>Contact</code>:

<pre>

    def add_phone_number(self, telephone_num):

        """""" (Contact, str) -> NoneType



        Add phone number telephone_num for this contact.

        """"""



        self.phone_number = telephone_num

</pre>



For a variable <code>khaled</code> that refers to a <code>Contact</code> object, which code fragment correctly calls method <code>add_phone_number</code>?

<br>","<code>add_phone_number(khaled, '555-1111')</code>",<code>khaled.add_phone_number() = '555-1111'</code>,<code>khaled.add_phone_number('555-1111')</code>,"<code>khaled.add_phone_number(khaled, '555-1111')</code>",,,,,,,,,,,

"Consider this code:

<pre>

class Author:

    def __init__(self, name):

        """""" (______, str) -> NoneType """"""

        self.name = name

</pre>



What should the blank (________) in the type contract be replaced with?",<code>str</code>,<code>NoneType</code>,<code>Author</code>,It is not possible to tell.,,,,,,,,,,,

"Consider this code:

<pre>def contains(value, lst):

    """""" (object, list of list of object) -> bool



    Return whether value is an element of one of the nested lists in lst.



    >>> contains('moogah', [[70, 'blue'], [1.24, 90, 'moogah'], [80, 100]])

    True

    """"""



    found = False  # We have not yet found value in the list.



    # CODE MISSING HERE



    return found

</pre>



Select the code fragment(s) that make the function above match its docstring description.  



(Recall that type <code>object</code> includes values of all Python types.)","<pre>    for sublist in lst:

        if value in sublist:

            found = True

</pre>","<pre>    for item in lst:

        if value == item:

            value = True

</pre>","<pre>    for i in range(len(lst)):

        for j in range(len(lst[i])):

            if lst[i][j] == value:

                found = True

</pre>","<pre>    for i in range(len(lst)):

        for j in range(len(lst[i])):

            found = (lst[i][j] == value)

</pre>",,,,,,,,,,,

"Consider the code (these type contracts get a little tough to write!):

<pre>

def make_pairs(list1, list2):

    """""" (list of str, list of int) -> list of [str, int]

    

    Precondition: len(list1) == len(list2)



    Return a new list in which each item is a 2-item list with the string from the

    corresponding position of list1 and the int from the corresponding position of list2.

    

    >>> make_pairs(['A', 'B', 'C'], [1, 2, 3])

    [['A', 1], ['B', 2], ['C', 3]]

    """"""

    

    pairs = []

    

    # CODE MISSING HERE

        

    return pairs

</pre>



Select the code fragment(s) that make the function above match its docstring description.","<pre>

    for i in range(len(list1)):

        pairs.append([list1[i], list2[i]])

</pre>","<pre>

    for i in range(len(list1)):

        inner_list = []

        inner_list.append(list1[i])

        inner_list.append(list2[i])

    pairs.append(inner_list)

</pre>","<pre>

    for i in range(len(list1)):

        inner_list = []

        inner_list.append(list1[i])

        inner_list.append(list2[i])

        pairs.append(inner_list)

</pre>","<pre>

    inner_list = []

    for i in range(len(list1)):

        inner_list.append(list1[i])

        inner_list.append(list2[i])

        pairs.append(inner_list)

</pre>",,,,,,,,,,,

"Consider this code:

<pre>

# data_file refers to a file open for reading.

for line in data_file:

    print(line)

</pre>

The program above prints the lines of the file but adds an extra blank line after each line. Select the code fragment(s) that when used as replacement(s) for <code>print(line)</code> will print the lines without extra blank lines.



Note: use <code>help</code> to find out information about any functions or methods that you are not familiar with.","<code>print(line, end='')</code>",<code>print(line - '\n')</code>,<code>print(line.rstrip('\n'))</code>,,,,,,,,,,,,

"Consider this code:

<pre>

def get_value(func, L1, L2):

    """""" (function, list, list) -> object

  

    Apply func to L1 and L2, then to a two-item list that contains the values produced by those

    two function calls, and return that result.

    """"""



    return func([func(L1), func(L2)])

</pre>

What will <code>get_value(max, [1, 2, 3], [2, 3, 4])</code> produce?<br><br>",<code>4</code>,<code>3</code>,<code>2</code>,<code>1</code>,,,,,,,,,,,

"This year, your CSC108 course is participating in a study investigating how students interact with the online exercises hosted within PCRS. The study is seeking to learn (1) how students work on programming assignments and (2) whether particular programming structures or concepts are especially challenging for students.



<i>Your participation would be highly appreciated and could improve the quality of the learning experience at U of T.</i> This study could have a significant impact on how programming courses are offered in this department -- and more broadly, as the research team hopes to publish the results of this analysis at a computer science education conference. Furthermore, this data may be of use in future studies investigating misconceptions students have of introductory programming concepts or student behavior when completing online exercises. The data will be stored securely and will only be accessible to researchers who obtain official permission to do so.



If you choose to participate in this study, the researchers will receive data about all of your activities in PCRS, including every submission to exercises in the system. The researchers will also receive your marks for the term. This data will be anonymized, so no one at the University of Toronto will know if you participate or not. ","Yes, I consent for my data to be included in the study.","No, I do not wish for my data to be included in the study.",,,,,,,,,,,,,

"<p>A file has a section at the top that has a preamble describing the contents of the file, then a blank line, then a list of high temperatures for each day in January all on one line, then a list of high temperatures for each day in February all on one line, then lists for March, April, and so on through December, each on one line.  There are thousands of lines of information after that temperature data that you aren't currently interested in.</p>



<p>You want to write a program that prints the average of the high temperatures in January. Which of the four file-reading approaches should you use?</p>



<p>Hint: review the Reading Files video.</p>",The <code>for <i>line</i> in <i>file</i></code> approach,The <code>readlines</code> approach,The <code>read</code> approach,The <code>readline</code> approach,,,,,,,,,,,

"Consider this code: <code>my_tuple = (5, 4, 3)</code>



Knowing that tuples are immutable, select the code fragment(s) that will result in an error.","<code>my_tuple = my_tuple + (2, 1)</code>",<code>my_tuple[0] = 7</code>,<code>my_tuple.append(2)</code>,"<code>my_tuple = (1, 2, 3)</code>",,,,,,,,,,,

"Consider this assignment statement:

<pre>d = {'a': 1, 'c': 3, 'b': 2}</pre>

Select the expression(s) that evaluate to <code>True</code>.",<code>'b' in d</code>,<code>not ('e' in d)</code>,<code>2 in d</code>,<code>'B' in d</code>,"<code>""b"" in d</code>","<code>'b' in ""d""</code>",,,,,,,,,

"Consider this code:

<pre>d = {'a': [1, 3], 'b': [5, 7, 9], 'c': [11]}</pre>

Select the expression(s) that evaluate to <code>3</code>.",<code>len(d)</code>,<code>len(d['b'])</code>,<code>len(d['a'])</code>,<code>len(d) - 3</code>,<code>len(d['a']) + len(d['c'])</code>,<code>len(d['a' + 'c'])</code>,,,,,,,,,

"Consider this code:

<pre>

for i in range(2, 5):

  for j in range(4, 9):

    print(i, j)</pre>

Trace the code above in the Python Visualizer.  How many times is <code>print(i, j)</code> executed?",3,24,5,15,,,,,,,,,,,

"Consider this code:

<pre>

class Phone:

    

    def __init__(self, number, ringtone, num_rings):

        self.number = number

        self.ringtone = ringtone

        self.num_rings = num_rings

        

    def ring(self):

        print(self.ringtone)

        

    def receive_call(self):

        for i in range(self.num_rings):

            self.ring()

</pre>



Now, assume this code has been executed:

<pre>

>>> my_phone = Phone('(416) 987-1234', 'RING!!!', 4)

</pre>



When the following code is executed, what will be printed?

<pre>

>>> my_phone.receive_call()

</pre>","<pre>

RING!!!

RING!!!

RING!!!

RING!!!

</pre>","<pre>

RING!!!

</pre>","<pre>

RING!!!RING!!!RING!!!RING!!!

</pre>",An error occurs and nothing is printed.,,,,,,,,,,,

"This question uses class <code>Contact</code> from the previous questions.



Another method has been added to class <code>Contact</code>:

<pre>

    def __str__(self):

        """""" (Contact) -> str

 

        Return a string representation of this contact.

        """"""



        return '{0} {1} &lt;{2}&gt;'.format(self.first_name, 

            self.last_name, self.email_address)

</pre>



Variable <code>tom</code> refers to a <code>Contact</code> object with instance variables <code>first_name</code>, <code>last_name</code>, and <code>email_address</code> that refer to <code>'Tom'</code>, <code>'Fairgrieve'</code> and <code>'tom@example.com'</code> respectively.



What is produced when <code>str(tom)</code> is called?

<br>

","A string containing the types and memory addresses of the objects that <code>last_name</code>, <code>first_name</code>, and <code>email_address</code> refer to.","



<code>'Fairgrieve, Tom &lt;tom@example.com&gt;'</code>",<code>'Tom Fairgrieve &lt;tom@example.com&gt;'</code>,A string containing information about the object that <code>tom</code> refers to.  This string contains both its type and its memory address.,,,,,,,,,,,

"How many arguments does function <code>oct</code> take?

",0,1,2,3,,,,,,,,,,,

What type of value does function <code>round</code> return?,<code>float</code>,<code>int</code>,<code>number</code> (either an <code>int</code> or a <code>float</code>),,,,,,,,,,,,

"What value does <code>pow(2, 3)</code> produce?",<code>2</code>,<code>3</code>,<code>9</code>,<code>8</code>,,,,,,,,,,,

"What is the lowest number of arguments function <code>round</code> takes?
